n_rows,mean_time,std_time,type
100,2.229275703430176,0.03159235285370689,non_parallel
200,2.466632604598999,0.005047999156535221,non_parallel
300,2.898243506749471,0.013867365241473669,non_parallel
400,4.352738459904988,0.012856940242709156,non_parallel
500,5.451302528381348,0.00792431486324627,non_parallel
600,6.034871419270833,0.010901034601240488,non_parallel
700,6.732228358586629,0.022751483853080824,non_parallel
800,6.9982536633809405,0.005507110311188875,non_parallel
900,6.6736213366190595,0.014529919941063875,non_parallel
1000,6.926071564356486,0.010151035952246881,non_parallel
